KEN_KAT;DIK_BANG;MDP;MDDP;JABATAN
LETKOL Ke KOLONEL;SESKO;22;;Tidak ada
LETKOL Ke KOLONEL;DIKLAPA PLUS;25;;Tidak ada
LETKOL Ke KOLONEL;DIKLAPA;27;;Tidak ada
MAYOR Ke LETKOL;SESKO;18;;Komandan
MAYOR Ke LETKOL;DIKLAPA ;21;;Tidak ada
MAYOR Ke LETKOL;DIKLAPA SETARA;23;;Tidak ada
MAYOR Ke LETKOL;DIKSPESPA ;25;;Tidak ada
KAPTEN Ke MAYOR;DIKLAPA/SETARA;14;;Palaksa
KAPTEN Ke MAYOR;DIKSPESPA ;16;;Palaksa/KadepOps
LETTU Ke KAPTEN;DIKSPESPA;9;;Kadep
LETDA Ke LETTU;DIKPASIS;4;;Padiv/Kadiv
PELTU Ke LETDA;DIKTUKPA;;4;Padiv/Kadiv
PELDA Ke PELTU;;;4;Kabag
SERMA Ke PELDA;;;4;Kabag
SERKA Ke SERMA;;;5;Kabag
SERTU Ke SERKA;;;5;Kabag
SERDA Ke SERTU;;;5;Kabag
KOPKA Ke SERDA;DIKTUKBAKAT;;5;kabag
KOPTU Ke KOPKA;;;5;Operator
KOPDA Ke KOPTU;;;5;Operator
KLK Ke KOPDA;;;5;Operator
KLS Ke KLK;;;4;Operator
KLD Ke KLS;;;4;Operator
